dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:otherCatalogNumbers,dwc:recordNumber,dwc:recordedBy,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:dateIdentified,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferencedDate,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:samplingProtocol,dwc:eventRemarks,dwc:occurrenceRemarks
{D93C6399-00A8-4A43-A57E-0D45764DEC17},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,128,OrigCatNum: 128 [S],,"Hitchins, P.M.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Gonionotophis,nyassae,,"Gonionotophis nyassae (Günther, 1888)","(Günther, 1888)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Mehelya nyassae|1961CatName: Mehelya nyassae,29.817632° S 31.017260° E,"Morningside, Burman Bush Nature Reserve, Burman Drive",-29.8176320000,31.0172600000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,,,,,,,,
{38E96C7D-6642-4FE6-B74C-08442B62DC54},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,63,OrigCatNum: 63 [S],,"Stott, W.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Boaedon,capensis,,"Boaedon capensis Duméril, Bibron & Duméril, 1854","Duméril, Bibron & Duméril, 1854",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Boaedon fuliginous fuliginous|1961CatName: Boaedon fuliginous fuliginous,,Amanzimtoti,,,,,,,,,,,,,,
{C7B02E5D-5FC3-416B-A135-0490CA5A61FC},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,602,,CW 28,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion,melanocephalum,,"Bradypodion melanocephalum (Gray, 1865)","(Gray, 1865)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2016/10/10|1961CatName: Bradypodion melanocephalum,29.911852° S 31.008500° E,"Bluff, Grosvenor, Devon Road",-29.9118520000,31.0085000000,"Richards, L.R.",Fri Jun 30 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/04/10|1985.iv.10,1985-04-10,1985,04,10,,,Presented by Clive Reid
{ADE99723-3B6D-43B4-BEE4-03D4822BE219},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1543,,SR 1120,"Alexander, G.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops,,conjunctus,Leptotyphlops conjunctus conjunctus,,subspecies,accepted,,,1996-05-02,Determined by: D.G. Broadley | R.B. Yeadon|Determination Name verified: A.J.L. Lambiris  2017/04/05|OrigCatName: Leptotyphlops|1961CatName: Leptotyphlops conjunctus conjunctus,29.815667° S 31.030108° E,"Stamford Hill, Windsor Park Golf Course",-29.8156670000,31.0301080000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1986/09/22|1986.09.22,1986-09-22,1986,09,22,,Habitat: golf course,Donation: Graham Alexander
{540F2777-12E2-48DA-8237-CAC74BC9A049},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1682,,RCBS 1160,"Boycott, R.C.",1 10% Formalin (whole animal),Animalia,Chordata,Reptilia,Squamata,Cordylidae,Chamaesaura,aenea,,"Chamaesaura aenea (Fitzinger, 1843)","(Fitzinger, 1843)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2017/03/01,26.141153° S 31.135990° E,"Malolotja Nature Reserve, near Main Gate",-26.1411530000,31.1359900000,"Boycott, R.C.",Wed Jun 07 2017 00:00:00 GMT+0200 (South Africa Standard Time),0.000278,,1993/12/31|1993.12.31,1993-12-31,1993,12,31,,Habitat: grassland on plateau,Donated by R.C. Boycott
{9C8B3B3F-08C0-48CF-AB86-8B9D745E7672},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,293,,,"Lawson, W.J.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,margaritifer,,"Trachylepis margaritifer Branch Et Al., 2005","Branch Et Al., 2005",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2017/01/04|1961CatName: Mabuya quinquetaeniata margaritifer,19.961119° S 32.340975° E,"Devure River, near Birchenough Bridge and Save River",-19.9611190000,32.3409750000,admin,,,,1967/06/01|1967.vi,1967-06,1967,06,,,,
{3D02141C-9E13-4EEB-0B2F-0B4CAC5665FA},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,332,,,"Bourquin, O.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,depressa,,"Trachylepis depressa (Peters, 1854)","(Peters, 1854)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2017/01/04|OrigCatName: Mabuya homalocephala deprea|1961CatName: Mabuya homalocephala deprea,27.010299° S 32.841926° E,"iSimangaliso Wetland Park, Kosi Bay Nature Reserve, Kosi Lake Area",-27.0102990000,32.8419260000,"Richards, L.R.",Wed Jun 28 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1965/01/01|1965.i,1965-01,1965,01,,,Habitat: coastal forest,
{C1ED9D84-636F-4491-A550-2050F4605512},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,932,,GA 223,"Alexander, G.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,mabouia,,"Hemidactylus mabouia (Moreau De Jonnès, 1818)","(Moreau De Jonnès, 1818)",species,accepted,,"Lambiris, A.J.",2016-10-11,Determined by: A.J.L. Lambiris|Determination Name verified: A.J.L. Lambiris  2016/11/02|OrigCatName: Hemidactylus mabouia mabouia|1961CatName: Hemidactylus mabouia mabouia,29.864972° S 30.976350° E,"Westridge, Wheeler Road",-29.8649720000,30.9763500000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/07/10|1985.07.10,1985-07-10,1985,07,10,,Habitat: urban,Presented by Graham Alexander
{3CEE23A1-67CA-4C49-B872-026AD450E5B6},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,704,,CR 107,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Viperidae,Causus,rhombeatus,,"Causus rhombeatus (Lichtenstein, 1823)","(Lichtenstein, 1823)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Causus rhombeatus|1961CatName: Causus rhombeatus,29.898640° S 30.965201° E,"Sea View, 79 Sea View Road",-29.8986400000,30.9652010000,"Richards, L.R.",Fri Jun 30 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/05/22|1985.v.22,1985-05-22,1985,05,22,,,Presented by Clive Reid
{93C64A26-2E15-4F1F-9921-A3C86B53A2B8},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1234,,CW 89,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,mabouia,,"Hemidactylus mabouia (Moreau De Jonnès, 1818)","(Moreau De Jonnès, 1818)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2016/11/10|1961CatName: Hemidactylus mabouia,29.839162° S 31.033415° E,"North Beach, Sandile Thusi (Argyle) Road, between Playfair and Brickhill Roads",-29.8391620000,31.0334150000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/07/01|1985.07,1985-07,1985,07,,,,Presented by Clive Reid
{16122BE4-1D7D-4996-BBED-721927C84145},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1339,,,,1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Mochlus,sundevallii,,Mochlus sundevallii,,species,accepted,,"Lambiris, A.J.",2015-12-01,Determined by: A.J.L. Lambiris|Determination Name verified: A.J.L. Lambiris  2017/02/15|1961CatName: Lygooma . undevallii,,"Mazabuka, Kaleya",,,,,,,1985/06/09|1985.vi.09,1985-06-09,1985,06,09,,Collector: not recorded,
