dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:recordNumber,dwc:fieldNumber,dwc:recordedBy,dwc:organismQuantity,dwc:organismQuantityType,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferenceVerificationStatus,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:eventRemarks,dwc:occurrenceRemarks
05dbc5be-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,2964,,01/12/1915_Maputo,"Habenicht, A.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Scelotes,arenicolus,,"Scelotes arenicolus Peters, 1854","Peters, 1854",species,accepted,,,Scelotes arenicolus,"25° 55' S 32° 30' E",Maputo,-25.9166666666,32.5000000000,administrator,Unchecked,DD:0 MM:12 YYYY:1915,1915-12,1915,12,,A Habenicht,
0a533d65-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,53396,,01/05/1979_Blantyre Area,"Slaughter, R.G.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Viperidae,Causus,rhombeatus,,"Causus rhombeatus (Lichtenstein, 1823)","(Lichtenstein, 1823)",species,accepted,,,Causus rhombeatus,,Blantyre Area,,,,,DD:0 MM:05 YYYY:1979,1979-05,1979,05,,RG Slaughter,
077e2a0f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,27232,,26/05/1962_Nelspruit,"Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,,Lygodactylus capensis,Lygodactylus capensis capensis,,subspecies,accepted,,,Lygodactylus mabouia,"25° 32' S 30° 58' E",Nelspruit,-25.5333333333,30.9666666666,administrator,Unchecked,DD:26 MM:05 YYYY:1962,1962-05-26,1962,05,26,WD Haacke,
0b5800f0-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,59809,,26/02/1982_Farm Eerstelling,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Kassina,senegalensis,,"Kassina senegalensis (Duméril & Bibron, 1841)","(Duméril & Bibron, 1841)",species,accepted,,,Kassina senegalensis,,Farm Eerstelling,,,,,DD:26 MM:02 YYYY:1982,1982-02-26,1982,02,26,Jacobson,
0a50a231-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,53125,,"25/04/1979_Hauchab Mountain, Diam. Area 2","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,anchietae,,"Agama anchietae Bocage, 1896","Bocage, 1896",species,accepted,,,Agama anchietae,"25° 23' S 15° 15' E","Hauchab Mountain, Diam. Area 2",-25.3833333333,15.2500000000,administrator,Unchecked,DD:25 MM:04 YYYY:1979,1979-04-25,1979,04,25,WD Haacke,
27e7ab21-f68e-451c-9ca0-d578af3d3af6,PreservedSpecimen,2018-11-30T11:06:12.000Z,Ditsong,Herpetology,20545,,,"Fitzsimons, V.F.",,,,Animalia,Chordata,Amphibia,Anura,Heleophrynidae,Heleophryne,regis,,"Heleophryne regis Hewitt, 1910","Hewitt, 1910",species,accepted,,,Helophryne regis,,"Jonkersburg forest station ,Outeniqua,cp",,,,,,1940-11-26,1940,11,26,,
0835c101-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,32235,,01/05/1966_Gross Tinkas Game Reserve 3,"Brown, H.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Mabuya,acutilabris,,"Mabuya acutilabris Schmidt, 1919","Schmidt, 1919",species,accepted,,,Trachylepis acutilabris,"22° 50' S 15° 28' E",Gross Tinkas Game Reserve 3,-22.8333333333,15.4666666666,administrator,Unchecked,DD:01 MM:05 YYYY:1966,1966-05-01,1966,05,01,H Brown,
685c90b8-4029-45c6-9f0e-f156d93da065,PreservedSpecimen,2018-11-30T10:56:59.000Z,Ditsong,Herpetology,69127,,,"Bruton, M.",,,,,,,,,,,,,,,,,,,,"Guma Lagoon, Okavango Delta, Botswana",,,,,,1990-01-02,1990,01,02,,
9b2471f5-b9aa-4baa-bb79-1373640da234,PreservedSpecimen,2018-10-03T10:22:15.000Z,Ditsong,Herpetology,55786,,,"Hurter, J.",,individuals,Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Zygaspis,vandami,,"Zygaspis vandami (Fitzsimons, 1930)","(Fitzsimons, 1930)",species,accepted,,,Zygaspis vandami vandami,,Nelspruit nature reserve,,,,,Year: 01982; Month: 07,1982-07-01,1982,07,01,,
09f214c9-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,49112,,"21/04/1976_Etengua, 16 Km Nw","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,sulcata,,"Trachylepis sulcata (Peters, 1867)","(Peters, 1867)",species,accepted,,,Trachylepis sulcata ansorgii,"17° 21' S 12° 58' E","Etengua, 16 Km Nw",-17.3500000000,12.9666666666,administrator,Unchecked,DD:21 MM:04 YYYY:1976,1976-04-21,1976,04,21,WD Haacke,
