catalogNumber,verbatimDet
Sco009614,"Scorpiones, Scorpionidae, Opistophthalmus giggas haackeri|Determined by: Lawrence"
Sco009614,"Scorpiones, Scorpionidae, Opistophthalmus haackei Lawrence, 1966"
Sco009615,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009615,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009616,"Scorpiones, Buthidae, Uroplectes vittatus|Determined by: Thorell"
Sco009616,"Scorpiones, Buthidae, Uroplectes vittatus (Thorell, 1876)"
Sco009617,"Scorpiones, Liochelidae, Opisthacanthus validus swazianus|Determined by: Hewitt"
Sco009617,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco009618,"Scorpiones, Liochelidae, Opisthacanthus validus swazianus|Determined by: Hewitt"
Sco009618,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco009619,"Scorpiones, Scorpionidae, Opistophthalmus validus swazianus|Determined by: Hewitt"
Sco009619,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco009620,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009620,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009621,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009621,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009622,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009622,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009623,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009623,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009624,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009624,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009625,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009625,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009626,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009626,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009627,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009627,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009628,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009628,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009629,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009629,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009630,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009630,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009631,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009631,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009632,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009632,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009633,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009633,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009634,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009634,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009635,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009635,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009636,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009636,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009637,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009637,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009638,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009638,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009639,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009639,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009640,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009640,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009641,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009641,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009642,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009642,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009643,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009643,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009644,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009644,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009645,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009645,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009646,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009646,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009647,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009647,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009648,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009648,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009649,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009649,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009650,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009650,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009651,"Scorpiones, Buthidae, Parabuthus"
Sco009652,"Scorpiones, Scorpionidae, Opistophthalmus coetzeei|Determined by: Lamoral"
Sco009652,"Scorpiones, Scorpionidae, Opistophthalmus coetzeei Lamoral, 1979"
Sco009653,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009653,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009654,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009654,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009655,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009655,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009656,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009656,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009657,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009657,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009658,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009658,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009659,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009659,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009660,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009660,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009661,"Scorpiones, Buthidae, Parabuthus raudus|Determined by: A. Harington"
Sco009661,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009662,"Scorpiones, Liochelidae, Hadogenes trichiurus"
Sco009662,"Scorpiones, Hormuridae, Hadogenes trichiurus (Gervais, 1843)"
Sco009663,"Scorpiones, Liochelidae, Cheloctonus crassimanus|Determined by: Hewitt"
Sco009663,"Scorpiones, Hormuridae, Cheloctonus crassimanus (Pocock, 1896)"
Sco009664,"Scorpiones, Buthidae, Buthus trilineatus"
Sco009664,"Scorpiones, Buthidae, Hottentotta trilineatus (Peters, 1861)"
Sco009667,"Scorpiones, Liochelidae, Hadogenes troglodytes matoppoanus|Determined by: Peters"
Sco009667,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco009668,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons|Determined by: Peters"
Sco009668,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco009669,"Scorpiones, Liochelidae, Hadogenes troglodytes matoppoanus|Determined by: Peters"
Sco009669,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco009670,"Scorpiones, Buthidae, Uroplectes planimanus|Determined by: Karsh"
Sco009670,"Scorpiones, Buthidae, Uroplectes planimanus (Karsch, 1879)"
Sco009671,"Scorpiones, Scorpionidae, Opistophthalmus pictus|Determined by: Kraep"
Sco009671,"Scorpiones, Scorpionidae, Opistophthalmus pictus Kraepelin, 1894"
Sco009672,"Scorpiones, Scorpionidae, Opistophthalmus carinatus histrio|Determined by: Thorell"
Sco009672,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009673,"Scorpiones, Scorpionidae, Opistophthalmus carinatus histrio|Determined by: Thorell"
Sco009673,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009674,"Scorpiones, Scorpionidae, Opistophthalmus carinatus histrio|Determined by: Thorell"
Sco009674,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009675,"Scorpiones, Buthidae, Uroplectes gracilior|Determined by: L. Prendini, 2009"
Sco009675,"Scorpiones, Buthidae, Uroplectes gracilior Hewitt, 1914"
Sco009676,"Scorpiones, Buthidae, Uroplectes gracilior|Determined by: L. Prendini, 2009"
Sco009676,"Scorpiones, Buthidae, Uroplectes gracilior Hewitt, 1914"
Sco009677,"Scorpiones, Buthidae, Uroplectes gracilior|Determined by: L. Prendini, 2009"
Sco009677,"Scorpiones, Buthidae, Uroplectes gracilior Hewitt, 1914"
Sco009678,"Scorpiones, Buthidae, Uroplectes gracilior|Determined by: L. Prendini, 2009"
Sco009678,"Scorpiones, Buthidae, Uroplectes gracilior Hewitt, 1914"
Sco009679,"Scorpiones, Buthidae, Parabuthus granulatus|Determined by: H & E"
Sco009679,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009680,"Scorpiones, Buthidae, Parabuthus raudus|Determined by: A.Harrington"
Sco009680,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009681,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergi"
Sco009681,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergii (Thorell, 1876)"
Sco009682,"Scorpiones, Buthidae, Parabuthus granulatus|Determined by: H & E"
Sco009682,"Scorpiones, Buthidae, Parabuthus kalaharicus Lamoral, 1977"
Sco009683,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco009683,"Scorpiones, Buthidae, Parabuthus kalaharicus Lamoral, 1977"
Sco009684,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco009684,"Scorpiones, Buthidae, Parabuthus kalaharicus Lamoral, 1977"
Sco009685,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco009685,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009686,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: l. Prendini, 2010"
Sco009686,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco009687,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: l. Prendini, 2010"
Sco009687,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco009688,"Scorpiones, Buthidae, Uroplectes carinatus"
Sco009688,"Scorpiones, Buthidae, Uroplectes carinatus (Pocock, 1890)"
Sco009689,"Scorpiones, Buthidae, Uroplectes carinatus"
Sco009689,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009690,"Scorpiones, Buthidae, Uroplectes carinatus"
Sco009690,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009691,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prenidni, 2010"
Sco009691,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco009692,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prenidni, 2010"
Sco009692,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco009693,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergi robustus"
Sco009693,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergii (Thorell, 1876)"
Sco009694,"Scorpiones, Scorpionidae, Opistophthalmus laevipes|Determined by: Poc"
Sco009694,"Scorpiones, Hormuridae, Opisthacanthus laevipes (Pocock, 1893)"
Sco009695,"Scorpiones, Buthidae, Parabuthus granulatus|Determined by: H & E"
Sco009696,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco009696,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009697,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergi robustus"
Sco009697,"Scorpiones, Scorpionidae, Opistophthalmus wahlbergii (Thorell, 1876)"
Sco009698,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009698,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009699,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009699,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009700,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009700,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009701,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009701,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009702,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009702,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009703,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009703,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009704,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009704,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009705,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009705,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009706,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009706,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009707,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009707,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009708,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009708,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009709,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009709,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009710,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009710,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009711,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009711,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009712,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009712,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009713,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009713,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009714,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009714,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009715,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco009715,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco009716,"Scorpiones, Scorpionidae, Opistophthalmus capensis|Determined by: Herbet"
Sco009716,"Scorpiones, Scorpionidae, Opistophthalmus latro Thorell, 1876"
Sco009717,"Scorpiones, Buthidae, Uroplectes chubbi|Determined by: Hirst"
Sco009717,"Scorpiones, Buthidae, Uroplectes chubbi Hirst, 1911"
Sco009718,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009718,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009719,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009719,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009720,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009720,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009721,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009721,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009722,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009722,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009723,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009723,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009724,"Scorpiones, Buthidae, Uroplectes flavoviridis"
Sco009724,"Scorpiones, Buthidae, Uroplectes flavoviridis Peters, 1861"
Sco009725,"Scorpiones, Buthidae, Uroplectes planimanus|Determined by: Karsch"
Sco009725,"Scorpiones, Buthidae, Uroplectes planimanus (Karsch, 1879)"
Sco009726,"Scorpiones, Buthidae, Buthotus trilineatus|Determined by: Peters"
Sco009726,"Scorpiones, Buthidae, Hottentotta trilineatus (Peters, 1861)"
Sco009727,"Scorpiones, Buthidae, Buthotus trilineatus|Determined by: Peters"
Sco009727,"Scorpiones, Buthidae, Hottentotta trilineatus (Peters, 1861)"
Sco009728,"Scorpiones, Scorpionidae, Opistophthalmus latimanus|Determined by: Thorell"
Sco009728,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009729,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax|Determined by: Thorell"
Sco009729,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco009730,"Scorpiones, Buthidae, Buthotus conspersus|Determined by: Thorell"
Sco009730,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009734,"Scorpiones, Scorpionidae, Opistophthalmus gigas"
Sco009734,"Scorpiones, Scorpionidae, Opistophthalmus gigas Purcell, 1898"
Sco009735,"Scorpiones, Buthidae, Parabuthus villosus villosus|Determined by: A. Harington"
Sco009735,"Scorpiones, Buthidae, Parabuthus villosus (Peters, 1862)"
Sco009736,"Scorpiones, Buthidae, Parabuthus villosus villosus|Determined by: A. Harington"
Sco009736,"Scorpiones, Buthidae, Parabuthus villosus (Peters, 1862)"
Sco009737,"Scorpiones, Buthidae, Parabuthus villosus villosus|Determined by: A. Harington"
Sco009737,"Scorpiones, Buthidae, Parabuthus villosus (Peters, 1862)"
Sco009738,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco009738,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco009739,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: Simon"
Sco009740,"Scorpiones, Buthidae, Uroplectes otjimbinguensis|Determined by: Karsch"
Sco009740,"Scorpiones, Buthidae, Uroplectes otjimbinguensis (Karsch, 1879)"
Sco009741,"Scorpiones, Buthidae, Uroplectes otjimbinguensis|Determined by: Karsch"
Sco009741,"Scorpiones, Buthidae, Uroplectes otjimbinguensis (Karsch, 1879)"
Sco009742,"Scorpiones, Buthidae, Uroplectes otjimbinguensis|Determined by: Karsch"
Sco009742,"Scorpiones, Buthidae, Uroplectes otjimbinguensis (Karsch, 1879)"
Sco009743,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco009743,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009744,"Scorpiones, Buthidae, Parabuthus granulatus pugnax"
Sco009744,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco009745,"Scorpiones, Scorpionidae, Opistophthalmus opinatus|Determined by: Karsch"
Sco009745,"Scorpiones, Scorpionidae, Opistophthalmus opinatus (Simon, 1887)"
Sco009746,"Scorpiones, Scorpionidae, Opistophthalmus angustivallis|Determined by: Karsch"
Sco009746,"Scorpiones, Scorpionidae, Opistophthalmus coetzeei Lamoral, 1979"
Sco009747,"Scorpiones, Buthidae, Parabuthus brevimanus"
Sco009747,"Scorpiones, Buthidae, Parabuthus brevimanus (Thorell, 1876)"
Sco009748,"Scorpiones, Buthidae, Buthotus conspersus|Determined by: Thorell"
Sco009748,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009749,"Scorpiones, Buthidae, Buthotus conspersus"
Sco009749,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009750,"Scorpiones, Buthidae, Buthotus conspersus"
Sco009750,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009751,"Scorpiones, Buthidae, Buthotus conspersus"
Sco009751,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009752,"Scorpiones, Buthidae, Buthotus conspersus"
Sco009752,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco009753,"Scorpiones, Buthidae, Parabuthus raudus|Determined by: A. Harington"
Sco009753,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009754,"Scorpiones, Scorpionidae, Opistophthalmus opinatus|Determined by: Karsch"
Sco009754,"Scorpiones, Scorpionidae, Opistophthalmus coetzeei Lamoral, 1979"
Sco009755,"Scorpiones, Scorpionidae, Opistophthalmus carinatus|Determined by: Peters"
Sco009755,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009756,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009756,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009757,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009757,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009758,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009758,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009759,"Scorpiones, Scorpionidae, Opistophthalmus carinatus"
Sco009759,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco009760,"Scorpiones, Buthidae, Parabuthus raudus|Determined by: A. Harington"
Sco009760,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009761,"Scorpiones, Buthidae, Parabuthus raudus|Determined by: A. Harington"
Sco009761,"Scorpiones, Buthidae, Parabuthus raudus (Simon, 1888)"
Sco009762,"Scorpiones, Scorpionidae, Opistophthalmus carinatus lawrencei|Determined by: Newlands"
Sco009762,"Scorpiones, Scorpionidae, Opistophthalmus lawrencei Newlands, 1969"
Sco009772,"Scorpiones, Liochelidae, Cheloctonus jonesii|Determined by: Pocock"
Sco009772,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco009773,"Scorpiones, Liochelidae, Cheloctonus jonesii"
Sco009773,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco009774,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons|Determined by: Peters"
Sco009774,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco009775,"Scorpiones, Buthidae, Parabuthus transvaalicus|Determined by: Purcell"
Sco009775,"Scorpiones, Buthidae, Parabuthus transvaalicus Purcell, 1899"
Sco009776,"Scorpiones, Scorpionidae, Opistophthalmus boehmi|Determined by: Pocock"
Sco009776,"Scorpiones, Scorpionidae, Opistophthalmus boehmi (Kraepelin, 1897)"
Sco009777,"Scorpiones, Scorpionidae, Opistophthalmus boehmi|Determined by: Pocock"
Sco009777,"Scorpiones, Scorpionidae, Opistophthalmus boehmi (Kraepelin, 1897)"
Sco009785,Syntropis longiunguis
Sco009785,"Scorpiones, Vaejovidae, Vejovoidus longiungius (Williams, 1969)"
Sco009786,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009786,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009787,"Scorpiones, Buthidae, Parabuthus namibensis|Determined by: Lamoral"
Sco009787,"Scorpiones, Buthidae, Parabuthus namibensis Lamoral, 1979"
Sco009788,"Scorpiones, Scorpionidae, Opistophthalmus litoralis|Determined by: Lawrence"
Sco009788,"Scorpiones, Scorpionidae, Opistophthalmus litoralis Lawrence, 1955"
Sco009789,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: Thorell"
Sco009789,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009790,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009790,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009791,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009791,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009792,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009792,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009793,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009793,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009794,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009794,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009795,"Scorpiones, Buthidae, Parabuthus flavidus|Determined by: Pocock"
Sco009795,"Scorpiones, Buthidae, Parabuthus mossambicensis (Peters, 1861)"
Sco009796,"Scorpiones, Buthidae, Pseudolychas ochraceus|Determined by: Purcell"
Sco009796,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco009797,"Scorpiones, Liochelidae, Cheloctonus jonesii|Determined by: L. Prendini, 2009"
Sco009797,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco009798,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009798,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009799,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009799,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009800,"Scorpiones, Liochelidae, Hadogenes hahni|Determined by: L. Prendini, 2004"
Sco009800,"Scorpiones, Hormuridae, Hadogenes hahni (Peters, 1862)"
Sco009803,"Scorpiones, Scorpionidae, Opistophthalmus capensis leipoldti|Determined by: Purcell"
Sco009803,"Scorpiones, Scorpionidae, Opistophthalmus leipoldti Purcell, 1898"
Sco009804,"Scorpiones, Scorpionidae, Opistophthalmus crassimanus|Determined by: Purcell"
Sco009804,"Scorpiones, Scorpionidae, Opistophthalmus crassimanus Purcell, 1899"
