taxonid,fullname,Author
3781,Latirus craticulatus,
3784,Latirus infundibulum,
3785,Latirus macgintyi,
3786,Latirus nodatus,
3790,Latirus rudis,
3793,Lauria cryptoplax,
3797,Lavigeria jouberti,
3798,Lavigeria paucicostata,
3799,Lavigeria spinosa,
3800,Lepsiella scobina,
3803,Leucozonia cingulata,
3808,Lienardia shepstonensis,
3809,Lienardia subcontracta,
3810,Lienardia westcotti,
3815,Lima fragilis,
3816,Lima inflata,
3818,Lima orientalis,
3819,Lima pellucida,
3820,Lima rotundata,
3824,Limaria nimbifera,
3831,Limopsis multishiatus,
3834,Linatella clandestina,
3837,Linicardium papyraceum,
3842,Liotia australis,
3843,Liotia depressa,
3844,Liotia discoidea,
3845,Liotia tasmanica,
3847,Lippistes helicoides,
3850,Litharium algoensis,
3856,Litozamia petterdi,
3858,Littorina angulifera,
3860,Littorina fasciata,
3861,Littorina irrorata,
3867,Littorina obesa,
3871,Littorina pintado,
3873,Littorina punctata,
3878,Littorina undulata,
3879,Littorina ziczac,
3885,Lophiotoma cingulifera,
3890,Loripes rosacea,
3896,Lucina floridana,
3897,Lucina muricata,
3898,Lucina nassula,
3900,Lucina pedinatus,
3901,Lucina pennsylvani,
3903,Lunatia catena,
3908,Lunella smaragda,
3913,Lymnaea columella,
3914,Lymnaea luteola,
3924,Lyropecten luculentus,
3929,Macoma crawfordi,
3930,Macoma deltoidalis,
3932,Macoma incograva,
3937,Macoma stratula,
3938,Macoma tristis,
3939,Macomona liliana,
3942,Macroschisma africana,
3947,Mactra adansoni,
3952,Mactra discors,
3953,Mactra elliptica,
3958,Mactra pallosii,
3962,Mactra spengleri,
3966,Mactrella alata,
3979,Mamillana mamilla,
3982,Mancinella kieneri,
3983,Mancinella squamosa,
3989,Mangelia subcancellata,
3990,Mangelia westcotti,
3994,Margarites pupulia,
4000,Marginella apicina,
4001,Marginella apricunum,
4002,Marginella atractus,
4005,Marginella biannulata,
4006,Marginella capensis,
4007,Marginella cincta,
4009,Marginella confortinii,
4011,Marginella cylindrica,
4014,Marginella dulcis,
4019,Marginella ingloria,
4025,Marginella marginata,
4036,Marginella punctostriata,
4042,Marginella volvarina,
4043,Marginella walvisiana,
4044,Marginella zeyheri,
4046,Marioniopsis cyanobranchiata,
4051,Mayena australasia,
4052,Mayena gemmifera,
4054,Megalatractus aruanus,
4055,Megalomastoma mane,
4056,Megalonaias gigantea,
4057,Megalophaedusa goniopuma,
4058,Megalophaedusa japonica,
4059,Megalophaedusa martensi,
4063,Melagraphia aethiops,
4066,Melampus coffeus,
4073,Melanella dilecta,
4076,Melanella natalensis,
4077,Melania aspirans,
4078,Melania ater,
4080,Melania pugilis,
4081,Melania undulatus,
4084,Melanopsis trifasciata,
4087,Melaraphe cincta,
4106,Mesodon perigraphtus,
4117,Micromya iris,
4118,Micromya lienosa,
4139,Mitra limbifera,
4144,Mitra nucea,
4158,Mitra variegata,
4162,Mitrella brunnea,
4167,Mitrella luctuosa,
4168,Mitrella lunata,
4172,Mitrella troglodytes,
4179,Modiola subpopili,
4180,Musculus impacta,
4188,Modulus carchedonius,
4189,Modulus catenulatus,
4192,Moerella huttoni,
4193,Moerella juvenilis,
4201,Monilea dividua,
4203,Monodonta adelaidae,
4204,Monodonta aethiops,
4205,Monodonta argyrostoma,
4207,Monodonta concamerata,
4210,Monodonta mutabilis,
4213,Monodonta punctulata,
4214,Monodonta rudis,
4215,Monodonta torri,
4216,Monodonta xanthostigma,
4220,Morula cariosa,
4222,Morula heptagonalis,
4224,Morula marginalba,
