catNum,dup
23946,Ara023946
23946,Sco023946
23979,Ara023979
23979,Sco023979
24629,Ara024629
24629,Sco024629
24630,Ara024630
24630,Sco024630
24631,Ara024631
24631,Sco024631
24632,Ara024632
24632,Sco024632
24633,Ara024633
24633,Sco024633
