taxonid,fullname,currentAuthor,suggestedAuthor,source
2798,Cymbiola magnifica,"(J.J. Gebauer, 1802)","(Gebauer, 1802)",Catalogue of Life
2800,Cymbiola pulchra,"(G.B. I Sowerby, 1825)","(G. B. Sowerby I, 1825)",Catalogue of Life
2801,Cymbiola rutila,"(W.J. Broderip, 1826)","(Broderip, 1826)",Catalogue of Life
2802,Cymbiola vespertilio,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2803,Cymbium cisium,"K.T. Menke, 1828","Menke, 1828",Catalogue of Life
2804,Cymbium cymbium,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2805,Cymbium pepo,"(J. Lightfoot, 1786)","( [Lightfoot] , 1786)",Catalogue of Life
2806,Cymbula compressa,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2807,Cymbula granatina,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2808,Cymbula miniata,"(Born, 1778)","(Born, 1778)",Catalogue of Life
2809,Cymbula oculus,"(I. von Born, 1778)","(Born, 1778)",Catalogue of Life
2815,Cyphoma mcgintyi,"H.A. Pilsbry, 1939","Pilsbry, 1939",Catalogue of Life
2817,Naria albuginosa,"J.E. Gray, 1825","(J. E. Gray, 1825)",Catalogue of Life
2822,Pseudozonaria annettae,"W.H. Dall, 1909","(Dall, 1909)",Catalogue of Life
2825,Pseudozonaria arabicula,"J.B.P.A. Lamarck, 1810","(Lamarck, 1810)",Catalogue of Life
2827,Palmadusta asellus,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2829,Naria beckii,"J.S. Gaskoin, 1836","(Gaskoin, 1836)",Catalogue of Life
2830,Naria boivinii,"L.C. Kiener, 1843","(Kiener, 1844)",Catalogue of Life
2834,Lyncina carneola,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2837,Naria cernica,"(GB Sowerby II, 1870)","(G. B. Sowerby II, 1870)",Catalogue of Life
2838,Macrocypraea cervinetta,"L.C. Kiener, 1843","(Kiener, 1844)",Catalogue of Life
2845,Cypraeovula cohenae,"C.M. Burgess, 1965","(Burgess, 1965)",WoRMS
2847,Palmadusta contaminata,"(Sowerby I,1832)","(J. E. Gray in G. B. Sowerby I, 1832)",Catalogue of Life
2848,Eclogavena coxeni,"J.C. Cox, 1873","(Cox, 1873)",Catalogue of Life
2853,Mauritia depressa,"(Gray, 1824)","(J.E. Gray, 1824)",Catalogue of Life
2854,Palmadusta diluculum,"(Reeve, 1845)","(Reeve, 1845)",Catalogue of Life
2857,Cypraeovula eburnea,"D.H. Barnes, 1824",,
2860,Naria erosa,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2865,Barycypraea fultoni,"G.B. III Sowerby, 1903 †","(G. B. Sowerby III, 1903)",Catalogue of Life
2870,Purpuradusta gracilis,"Stephenson, 1941 †","(Gaskoin, 1849)",Catalogue of Life
2871,Nucleolaria granulata,"Pease, 1862","(Pease, 1863)",Catalogue of Life
2873,Naria helvola,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2875,Bistolida hirundo,"C. Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2878,Naria irrorata,"J.E. Gray, 1828","(J. E. Gray, 1828)",Catalogue of Life
2880,Bistolida kieneri,"J.G. Hidalgo, 1906","(Hidalgo, 1906)",Catalogue of Life
2881,Naria labrolineata,"J.S. Gaskoin, 1849","(Gaskoin, 1849)",Catalogue of Life
2882,Naria lamarcki,"(Gray, 1825)",,
2883,Staphylaea limacina,"Lamarck, 1810 †","(Lamarck, 1810)",Catalogue of Life
2885,Palmadusta lutea,"(Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2888,Mauritia maculifera,"Schilder, 1932","Schilder, 1932",Catalogue of Life
2889,Leporicypraea mappa,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2890,Naria marginalis,"(Dillwyn, 1817)","(Dillwyn, 1827)",Catalogue of Life
2891,Mauritia mauritiana,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2896,Pseudozonaria nigropunctata,"J.E. Gray, 1828","(Gray, 1828)",Catalogue of Life
2898,Naria ocellata,"C. Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2903,Cypraea pantherina,"J. Lightfoot, 1786","[Lightfoot] , 1786",Catalogue of Life
2904,Naria poraria,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2905,Ransoniella punctata,"C. Linnaeus, 1771","(Linnaeus, 1771)",Catalogue of Life
2908,Eclogavena quadrimaculata,"J.E. Gray, 1824","(J.E. Gray, 1824)",Catalogue of Life
2909,Pseudozonaria robertsi,"J.G. Hidalgo, 1906","(Hidalgo, 1906)",Catalogue of Life
2910,Mauritia scurra,"(Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2911,Neobernaya spadicea,"(Swainson, 1823)","(Swainson, 1823)",Catalogue of Life
2918,Talostolida teres,"Gmelin, 1791","(Gmelin, 1791)",Catalogue of Life
2920,Chelycypraea testudinaria,"C. Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2922,Cypraea tigris,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
2923,Cypraea tortirostris,"G.B. III Sowerby, 1906","G. B. Sowerby III, 1906",Catalogue of Life
2924,Naria turdus,"(Lamarck, 1810)","(Lamarck, 1810)",Catalogue of Life
2925,Lyncina ventriculus,"J.B.P.A. Lamarck, 1810","(Lamarck, 1810)",Catalogue of Life
2926,Cypraeovula verhoefi,"C.M. Burgess, 1982",,
2929,Macrocypraea zebra,"M.L. Jaume & P.J. Borro, 1946","(Linnaeus, 1758)",Catalogue of Life
2930,Palmadusta ziczac,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2932,Cypraecassis crumena,"J.G. Bruguière, 1792",,
2933,Cypraecassis rufa,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2934,Cypraecassis testiculus,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2935,Cypraeovula algoensis,"(J.E. Gray, 1825)","(Gray, 1825)",Catalogue of Life
2936,Cypraeovula amphithales,"(Melvill, 1888)","(Melvill, 1888)",Catalogue of Life
2937,Cypraeovula capensis,"(J.E. Gray, 1828)","(Gray, 1828)",Catalogue of Life
2938,Cypraeovula connelli,"(W. Liltved, 1983)","(Liltved, 1983)",Catalogue of Life
2939,Cypraeovula coronata,"(F.A. Schilder, 1930)","(Schilder, 1930)",Catalogue of Life
2940,Cypraeovula edentula,"(J.E. Gray, 1825)","(Gray, 1825)",Catalogue of Life
2941,Cypraeovula fuscodentata,"(Gray, 1825)","(J.E. Gray, 1825)",Catalogue of Life
2942,Cypraeovula fuscorubra,"(H.O.N. Shaw, 1909)","(Shaw, 1909)",Catalogue of Life
2943,Cyrtopleura costata,"Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2946,Daphnella capensis,"(G.B. III Sowerby, 1892)","(G. B. Sowerby III, 1892)",Catalogue of Life
2947,Daphnella nobilis,"T. Kira, 1959","Kira, 1959",Catalogue of Life
2951,Decatopecten radula,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2953,Demoulia abbreviata,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2954,Demoulia retusa,"J.B.P.A. Lamarck, 1822","(Lamarck, 1822)",Catalogue of Life
2955,Demoulia ventricosa,"(J.B.P.A. Lamarck, 1816)","(Lamarck, 1816)",Catalogue of Life
2956,Dendrodoris caesia,"(L.S.R. Bergh, 1907)","(Bergh, 1907)",Catalogue of Life
2957,Dendrodoris denisoni,"G.F. Angas, 1864","(Angas, 1864)",Catalogue of Life
2958,Dendrodoris nigra,"C.T. Simpson, 1855","(Stimpson, 1855)",Catalogue of Life
2959,Dendrofissurellum scutellum,"(Gmelin, 1791)",,
2965,Dendropoma tholia,"A.M. Keen & J.E. Morton, 1960","Keen & J.E. Morton, 1960",Catalogue of Life
2970,Dentalium octangulatum,"E. Donovan, 1804","Donovan, 1804",Catalogue of Life
2971,Dentalium pretiosum,"G.B. II Sowerby, 1860","G. B. Sowerby II, 1860",Catalogue of Life
2972,Dentalium regulare,"E.A. Smith, 1903","E. A. Smith, 1903",Catalogue of Life
2973,Dentalium strigatum,"A.A. Gould, 1859","Gould, 1859",Catalogue of Life
2975,Dentimargo neglecta,"(G.B. I Sowerby, 1846)","(G. B. Sowerby II, 1846)",Catalogue of Life
2976,Diacria quadridentata,"(H.M.D. de Blainville, 1821)","(Blainville, 1821)",Catalogue of Life
2977,Diacria trispinosa,"de Blainville, 1821","(Blainville, 1821)",Catalogue of Life
2978,Diala translucida,"C. Hedley, 1905","Hedley, 1905",Catalogue of Life
2979,Diastoma virginica,"J. Henderson & P. Bartsch, 1914","Henderson & Bartsch, 1914",Catalogue of Life
2983,Dinocardium robustum,"Lightfoot, 1786","( [Lightfoot] , 1786)",Catalogue of Life
2984,Dinoplax fossus,"E.R. Sykes, 1899","Sykes, 1899",Catalogue of Life
2985,Dinoplax gigas,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
