taxonid,fullname,Author
1800,Babylonia pallida,"Y. Hirase, 1934"
1802,Babylonia spirata,"(C. Linnaeus, 1758)"
1804,Bankivia fasciata,"(K.T. Menke, 1830)"
1805,Barbatia cancellaria,"Lamarck, 1819"
1807,Barbatia domingensis,"J.B.P.A. Lamarck, 1819"
1808,Barbatia foliata,"(P. Forsskål in C. Niebuhr, 1775)"
1809,Barbatia novaezealandiae,"(E.A. Smith, 1915)"
1810,Barbatia obliquata,"(W. Wood, 1828)"
1811,Barbatia ovata,"J.F. Gmelin, 1791"
1813,Barbatia pistachia,"Lamarck, 1819"
1815,Barbatia revelata,"(G.P. Deshayes in L. Maillard, 1863)"
1816,Barbatia sculpturata,"W.H. Turton, 1932"
1817,Barbatia virescens,"(L.A. Reeve, 1844)"
1818,Barnea alfredensis,"(P. Bartsch, 1915)"
1820,Barnea manilensis,"(R.A. Philippi, 1847)"
1822,Barnea truncata,"Say, 1822"
1825,Bassina disjecta,"(G. Perry, 1811)"
1826,Bassina yatei,"(J.E. Gray, 1835)"
1827,Basterotia tricostalis,"G.B. III Sowerby, 1897"
1829,Bathytoma helenae,"R.N. Kilburn, 1974"
1830,Bathytoma regnans,"J.C. Melvill, 1918"
1831,Bathytoma visagei,"R.N. Kilburn, 1973"
1834,Batillaria minima,"W.H. Dall, 1894"
1836,Batillaria zonalis,"(J.G. Bruguière, 1792)"
1839,Bedeva paivae,"Crosse, 1864"
1840,Bellamya capillata,"G.R. von Frauenfeld, 1865"
1841,Bellamya unicolor,"(G.A. Olivier, 1804)"
1842,Benhamina obliquata,"(G.B. I Sowerby, 1825)"
1843,Benthoclionella jenneri,"R.N. Kilburn, 1974"
1845,Bentosites bloomfieldi,"J.C. Cox, 1864"
1848,Berthella plumula,"(G. Montagu, 1803)"
1849,Berthellina citrina,"(W.P.E.S. Rüppell & F.S. Leuckart, 1828)"
1850,Biomphalaria pfeifferi,"C.F.F. von Krauss, 1848"
1852,Bistolida owenii,"(J.E. Gray in G.B. II Sowerby, 1832)"
1853,Bithynia tentaculata,"(C. Linnaeus, 1758)"
1855,Bittium reticulatum,"Montagu, 1803"
1857,Bolinus brandaris,"(C. Linnaeus, 1758)"
1858,Bolinus cornutus,"(C. Linnaeus, 1758)"
1859,Bolma andersoni,"(E.A. Smith, 1902)"
1860,Bolma tayloriana,"(E.A. Smith, 1880)"
1861,Bonisa nakaza,"T.M. Gosliner, 1981"
1863,Brachidontes citrinus,"P.F. Röding, 1798"
1864,Brachidontes darwinianus,"(D'Orbigny, 1842)"
1865,Ischadium recurvum,"(Rafinesque, 1820)"
1866,Brachidontes semistriatus,"C.F.F. von Krauss, 1848"
1869,Buccinanops gradatum,"G.P. Deshayes, 1844"
1873,Buccinulum heteromorphum,"A.W.B. Powell, 1929"
1875,Buccinulum multilineum,"A.W.B. Powell, 1929"
1877,Buccinulum sufflatum,"C.C. Finlay, 1926"
