taxonid,fullname,Author,source
2062,Cantharus tinctus,"(Conrad, 1846)",Catalogue of Life
2064,Cantharus viverratus,"(Kiener, 1834)",Catalogue of Life
2065,Capitina calcicola,"Herbert & Moussalli, 2010",Catalogue of Life
2066,Capitina schaerfiae,"(L. Pfeiffer, 1861)",Catalogue of Life
2067,Caporbis formosus,"(W. H. Turton, 1932)",Catalogue of Life
2069,Caracolus caracolla,Linne,MCZbase
2070,Caracolus excellens,"(L. Pfeiffer, 1853)",Catalogue of Life
2072,Cardita ajar,"Bruguière, 1792",Catalogue of Life
2074,Cardita mera,,
2080,Cardium aculeatum,"Linnaeus, 1758",Catalogue of Life
2081,Cardium burnupi,"G. B. Sowerby III, 1897",Catalogue of Life
2083,Cardium dupuchense,"Reeve, 1845",Catalogue of Life
2084,Cardium echinatum,"Linnaeus, 1758",Catalogue of Life
2085,Cardium edule,"Linnaeus, 1758",Catalogue of Life
2086,Cardium egmontianum,"Shuttleworth, 1856",
2087,Cardium flavum,"Linnaeus, 1758",
2088,Cardium ingratum,"V. P. Kolesnikov, 1929",WoRMS
2089,Cardium isocardia,"Linnaeus, 1758",Catalogue of Life
2090,Cardium lyratum,"G. B. Sowerby II, 1840",Catalogue of Life
2092,Cardium medium,"Linnaeus, 1758",Catalogue of Life
2094,Cardium muticum,"Reeve, 1844",WoRMS
2095,Cardium norvegicum,"Cardium (Laevicardium) norvegicum Spengler, 1799",Catalogue of Life
2096,Cardium nuttallii,"Conrad, 1837",Catalogue of Life
2097,Cardium procerum,"G. B. Sowerby I, 1833",Catalogue of Life
2098,Cardium pseudolima,"Lamarck, 1819",Catalogue of Life
2099,Cardium racketti,"Donovan, 1825",
2100,Cardium retusum,"Linnaeus, 1767",Catalogue of Life
2101,Cardium ringens,"Bruguière, 1789",Catalogue of Life
2102,Cardium rubicundum,"Reeve, 1844",Catalogue of Life
2104,Cardium ruthenicum,"Hilber, 1882",WoRMS
2106,Cardium setosum,"Redfield, 1846",Catalogue of Life
2107,Cardium substriatum,"Conrad, 1837",Catalogue of Life
2109,Cardium turtoni,"G. B. Sowerby III, 1894",Catalogue of Life
2110,Cardium unedo,"Linnaeus, 1758",Catalogue of Life
